prompt,label,classname
"This small Australian Terrier breed has a rough, shaggy coat, a sturdy body, and a friendly, spirited temperament. They were originally bred for hunting small game and herding livestock in Australia and are known for their intelligence, agility, and loyalty.",193,Australian Terrier
"This small Dandie Dinmont Terrier breed has a unique, elongated body, a distinctive topknot of hair on the head, and a friendly, intelligent temperament. They were originally bred for hunting small game, such as otters and badgers, in Scotland and are known for their determination, courage, and strong prey drive.",194,Dandie Dinmont Terrier
"This small Boston Terrier breed has a smooth, brindle or black coat with distinctive white markings, a compact body, and a friendly, outgoing temperament. They were originally bred for dogfighting in the United States but have become popular companion animals due to their intelligence, affection, and adaptability.",195,Boston Terrier
"This small Miniature Schnauzer breed has a distinctive beard, bushy eyebrows, and a wiry coat. They were originally bred for hunting rats and other small game in Germany and are known for their intelligence, agility, and alert nature.",196,Miniature Schnauzer
"This large Giant Schnauzer breed has a dense, wiry coat, a strong, muscular body, and a friendly, confident temperament. They were originally bred for herding and guarding livestock in Germany and are known for their intelligence, versatility, and loyalty.",197,Giant Schnauzer
"This medium-sized Standard Schnauzer breed has a wiry coat, a strong, square build, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in Germany and are known for their versatility, loyalty, and agility.",198,Standard Schnauzer
"This small Scottish Terrier breed has a distinctive, long, wiry coat, a sturdy body, and a confident, independent temperament. They were originally bred for hunting small game, such as rats and badgers, in Scotland and are known for their intelligence, courage, and strong prey drive.",199,Scottish Terrier
"This medium-sized Tibetan Terrier breed has a thick, shaggy coat, a sturdy body, and a friendly, gentle temperament. They were originally bred as companion and watchdogs in Tibet and are known for their intelligence, agility, and loyalty.",200,Tibetan Terrier
"This small Australian Silky Terrier breed has a long, silky coat, a compact body, and a friendly, spirited temperament. They were originally bred for hunting small game and as companion animals in Australia and are known for their intelligence, agility, and affection.",201,Australian Silky Terrier
"This medium-sized Soft-coated Wheaten Terrier breed has a soft, wavy, wheat-colored coat, a sturdy body, and a friendly, playful temperament. They were originally bred for herding and guarding livestock in Ireland and are known for their intelligence, versatility, and loyalty.",202,Soft-coated Wheaten Terrier
"This small West Highland White Terrier breed has a thick, white, double coat, a compact body, and a friendly, confident temperament. They were originally bred for hunting small game, such as rats and badgers, in Scotland and are known for their intelligence, courage, and strong prey drive.",203,West Highland White Terrier
"This small Lhasa Apso breed has a long, dense coat, a sturdy body, and a friendly, independent temperament. They were originally bred as companion and watchdogs in Tibet and are known for their intelligence, loyalty, and alertness.",204,Lhasa Apso
"This Flat-Coated Retriever to large-sized dog breed has a dense, glossy, black or liver-colored coat, a strong, muscular body, and a friendly, outgoing temperament. They were originally bred for retrieving game in England and are known for their intelligence, versatility, and strong swimming ability.",205,Flat-Coated Retriever
"This Curly-coated Retriever to large-sized dog breed has a tight, curly coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for retrieving game in England and are known for their intelligence, versatility, and strong swimming ability.",206,Curly-coated Retriever
"This Golden Retriever to large-sized dog breed has a dense, water-repellent, golden coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for retrieving game in Scotland and are known for their intelligence, versatility, and strong swimming ability.",207,Golden Retriever
"This Labrador Retriever to large-sized dog breed has a dense, short coat, a strong, muscular body, and a friendly, outgoing temperament. They were originally bred for retrieving game in Newfoundland and are known for their intelligence, versatility, and strong swimming ability.",208,Labrador Retriever
"This Chesapeake Bay Retriever to large-sized dog breed has a dense, wavy, water-repellent coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for retrieving game in the Chesapeake Bay region of the United States and are known for their intelligence, versatility, and strong swimming ability.",209,Chesapeake Bay Retriever
"This German Shorthaired Pointer to large-sized dog breed has a short, dense coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for hunting and pointing game in Germany and are known for their versatility, agility, and strong sense of smell.",210,German Shorthaired Pointer
"This medium-sized Vizsla breed has a short, golden-rust coat, a lean, muscular body, and a friendly, energetic temperament. They were originally bred for hunting and pointing game in Hungary and are known for their intelligence, agility, and strong sense of smell.",211,Vizsla
"This English Setter to large-sized dog breed has a long, silky coat, a strong, muscular body, and a friendly, gentle temperament. They were originally bred for hunting and pointing game in England and are known for their intelligence, agility, and strong sense of smell.",212,English Setter
"This Irish Setter to large-sized dog breed has a long, silky, red coat, a strong, muscular body, and a friendly, playful temperament. They were originally bred for hunting and pointing game in Ireland and are known for their intelligence, agility, and strong sense of smell.",213,Irish Setter
"This Gordon Setter to large-sized dog breed has a long, silky, black and tan coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for hunting and pointing game in Scotland and are known for their intelligence, agility, and strong sense of smell.",214,Gordon Setter
"This medium-sized Brittany dog breed has a dense, wavy coat, a strong, agile body, and a friendly, energetic temperament. They were originally bred for hunting and pointing game in France and are known for their intelligence, agility, and strong sense of smell.",215,Brittany dog
"This Clumber Spaniel to large-sized dog breed has a long, dense, white coat with lemon or orange markings, a strong, muscular body, and a friendly, gentle temperament. They were originally bred for hunting and retrieving game in England and are known for their intelligence, determination, and strong sense of smell.",216,Clumber Spaniel
"This medium-sized English Springer Spaniel breed has a long, silky coat, a strong, agile body, and a friendly, energetic temperament. They were originally bred for hunting and flushing game in England and are known for their intelligence, agility, and strong sense of smell.",217,English Springer Spaniel
"This medium-sized Welsh Springer Spaniel breed has a long, silky, red and white coat, a strong, agile body, and a friendly, energetic temperament. They were originally bred for hunting and flushing game in Wales and are known for their intelligence, agility, and strong sense of smell.",218,Welsh Springer Spaniel
"This small to medium-sized Cocker Spaniel breed has a long, silky coat, a compact body, and a friendly, affectionate temperament. They were originally bred for hunting and flushing game in England and are known for their intelligence, agility, and strong sense of smell.",219,Cocker Spaniel
"This medium-sized Sussex Spaniel breed has a long, silky, golden-liver coat, a sturdy, muscular body, and a friendly, gentle temperament. They were originally bred for hunting and flushing game in England and are known for their intelligence, determination, and strong sense of smell.",220,Sussex Spaniel
"This Irish Water Spaniel to large-sized dog breed has a dense, curly, liver-colored coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for hunting and retrieving game in Ireland and are known for their intelligence, versatility, and strong swimming ability.",221,Irish Water Spaniel
"This large Kuvasz breed has a dense, white, weather-resistant coat, a strong, muscular body, and a friendly, protective temperament. They were originally bred for guarding livestock and property in Hungary and are known for their intelligence, loyalty, and courage.",222,Kuvasz
"This small Schipperke breed has a dense, black coat, a fox-like face, and a friendly, curious temperament. They were originally bred for herding and guarding on canal boats in Belgium and are known for their intelligence, agility, and alertness.",223,Schipperke
"This Groenendael dog to large-sized dog breed, also known as the Belgian Sheepdog, has a long, dense, black coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in Belgium and are known for their intelligence, agility, and loyalty.",224,Groenendael dog
"This medium to large-sized dog breed, also known as the Belgian Malinois, has a short, fawn-colored coat with a black mask, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in Belgium and are known for their intelligence, agility, and loyalty.",225,Malinois
"This large Briard breed has a long, wavy, weather-resistant coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in France and are known for their intelligence, loyalty, and courage.",226,Briard
"This medium-sized Australian Kelpie breed has a short, weather-resistant coat, a lean, muscular body, and a friendly, energetic temperament. They were originally bred for herding and driving livestock in Australia and are known for their intelligence, agility, and stamina.",227,Australian Kelpie
"This large Komondor breed has a distinctive, long, corded coat, a strong, muscular body, and a friendly, protective temperament. They were originally bred for guarding livestock and property in Hungary and are known for their intelligence, loyalty, and courage.",228,Komondor
"This large Old English Sheepdog breed has a thick, shaggy, weather-resistant coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in England and are known for their intelligence, agility, and loyalty.",229,Old English Sheepdog
"This small to medium-sized Shetland Sheepdog breed has a long, thick, weather-resistant coat, a sturdy, agile body, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in the Shetland Islands and are known for their intelligence, agility, and loyalty.",230,Shetland Sheepdog
"This collie to large-sized dog breed has a long, weather-resistant coat, a strong, agile body, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in Scotland and are known for their intelligence, agility, and loyalty.",231,collie
"This medium-sized Border Collie breed has a weather-resistant coat, a lean, agile body, and a friendly, intelligent temperament. They were originally bred for herding and driving livestock in the border region between England and Scotland and are known for their intelligence, agility, and exceptional herding ability.",232,Border Collie
"This large Bouvier des Flandres dog breed has a thick, weather-resistant coat, a strong, muscular body, and a friendly, protective temperament. They were originally bred for herding and guarding livestock in the Flanders region of Belgium and are known for their intelligence, loyalty, and courage.",233,Bouvier des Flandres dog
"This Rottweiler to large-sized dog breed has a short, black coat with rust-colored markings, a strong, muscular body, and a friendly, protective temperament. They were originally bred for herding and guarding livestock in Germany and are known for their intelligence, loyalty, and courage.",234,Rottweiler
"This German Shepherd Dog to large-sized dog breed has a dense, weather-resistant coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in Germany and are known for their intelligence, versatility, and loyalty.",235,German Shepherd Dog
"This Dobermann to large-sized dog breed has a short, sleek coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for protection and guarding in Germany and are known for their intelligence, loyalty, and courage.",236,Dobermann
"This small Miniature Pinscher breed has a short, sleek coat, a compact, muscular body, and a friendly, spirited temperament. They were originally bred for hunting small game and as companion animals in Germany and are known for their intelligence, agility, and courage.",237,Miniature Pinscher
"This large Greater Swiss Mountain Dog breed has a dense, weather-resistant coat, a strong, muscular body, and a friendly, gentle temperament. They were originally bred for herding and guarding livestock in Switzerland and are known for their intelligence, versatility, and loyalty.",238,Greater Swiss Mountain Dog
"This large Bernese Mountain Dog breed has a long, thick, weather-resistant coat, a strong, muscular body, and a friendly, gentle temperament. They were originally bred for herding and guarding livestock in Switzerland and are known for their intelligence, versatility, and loyalty.",239,Bernese Mountain Dog
"This medium-sized Appenzeller Sennenhund breed has a dense, weather-resistant coat, a strong, muscular body, and a friendly, energetic temperament. They were originally bred for herding and guarding livestock in Switzerland and are known for their intelligence, agility, and loyalty.",240,Appenzeller Sennenhund
"This medium-sized Entlebucher Sennenhund breed has a dense, weather-resistant coat, a strong, muscular body, and a friendly, energetic temperament. They were originally bred for herding and guarding livestock in Switzerland and are known for their intelligence, agility, and loyalty.",241,Entlebucher Sennenhund
"This Boxer to large-sized dog breed has a short, sleek coat, a strong, muscular body, and a friendly, energetic temperament. They were originally bred for protection and guarding in Germany and are known for their intelligence, loyalty, and courage.",242,Boxer
"This large Bullmastiff breed has a short, dense coat, a strong, muscular body, and a friendly, protective temperament. They were originally bred for guarding estates and game preserves in England and are known for their intelligence, loyalty, and courage.",243,Bullmastiff
"This large Tibetan Mastiff breed has a dense, weather-resistant coat, a strong, muscular body, and a friendly, protective temperament. They were originally bred for guarding livestock and property in Tibet and are known for their intelligence, loyalty, and courage.",244,Tibetan Mastiff
"This small French Bulldog breed has a short, sleek coat, a muscular, compact body, and a friendly, affectionate temperament. They were originally bred for companionship in France and are known for their intelligence, adaptability, and charm.",245,French Bulldog
"This giant Great Dane breed has a short, sleek coat, a strong, muscular body, and a friendly, gentle temperament. They were originally bred for hunting large game and guarding estates in Germany and are known for their intelligence, loyalty, and courage.",246,Great Dane
"This giant St. Bernard breed has a dense, weather-resistant coat, a strong, muscular body, and a friendly, gentle temperament. They were originally bred for rescue and guarding livestock in the Swiss Alps and are known for their intelligence, loyalty, and courage.",247,St. Bernard
"This term usually refers to the Siberian Husky or the Alaskan Malamute, both medium to large-sized dog breeds with dense, weather-resistant coats, strong, muscular bodies, and friendly, energetic temperaments. They were originally bred for pulling sleds and hunting in the Arctic and are known for their intelligence, endurance, and loyalty.",248,husky
"This large Alaskan Malamute breed has a dense, weather-resistant coat, a strong, muscular body, and a friendly, energetic temperament. They were originally bred for pulling heavy sleds and hunting in the Arctic and are known for their intelligence, endurance, and loyalty.",249,Alaskan Malamute
"This medium-sized Siberian Husky breed has a dense, weather-resistant coat, a strong, muscular body, and a friendly, energetic temperament. They were originally bred for pulling sleds and hunting in Siberia and are known for their intelligence, endurance, and loyalty.",250,Siberian Husky
"This medium-sized Dalmatian breed has a short, white coat with black or liver-colored spots, a strong, muscular body, and a friendly, energetic temperament. They were originally bred for carriage dog and guarding duties in Croatia and are known for their intelligence, agility, and stamina.",251,Dalmatian
"This small Affenpinscher breed has a shaggy, wiry coat, a compact, muscular body, and a friendly, curious temperament. They were originally bred for hunting small game and as companion animals in Germany and are known for their intelligence, agility, and courage.",252,Affenpinscher
"This medium-sized Basenji breed has a short, sleek coat, a lean, muscular body, and a friendly, independent temperament. They were originally bred for hunting small game in Africa and are known for their intelligence, agility, and unique, yodel-like vocalizations.",253,Basenji
"This small pug breed has a short, wrinkled coat, a compact, muscular body, and a friendly, affectionate temperament. They were originally bred for companionship in China and are known for their intelligence, adaptability, and charm.",254,pug
"This giant Leonberger breed has a long, weather-resistant coat, a strong, muscular body, and a friendly, gentle temperament. They were originally bred for guarding livestock and property in Germany and are known for their intelligence, loyalty, and courage.",255,Leonberger
"This giant Newfoundland dog breed has a dense, weather-resistant coat, a strong, muscular body, and a friendly, gentle temperament. They were originally bred for water rescue and hauling duties in Newfoundland and are known for their intelligence, loyalty, and swimming ability.",256,Newfoundland dog
"This large Great Pyrenees dog breed has a thick, weather-resistant coat, a strong, muscular body, and a friendly, protective temperament. They were originally bred for guarding livestock and property in the Pyrenees Mountains and are known for their intelligence, loyalty, and courage.",257,Great Pyrenees dog
"This medium-sized Samoyed breed has a thick, weather-resistant coat, a strong, muscular body, and a friendly, energetic temperament. They were originally bred for pulling sleds and hunting in Siberia and are known for their intelligence, endurance, and loyalty.",258,Samoyed
"This small Pomeranian breed has a thick, fluffy coat, a compact, muscular body, and a friendly, spirited temperament. They were originally bred for companionship in Pomerania and are known for their intelligence, agility, and charm.",259,Pomeranian
"This medium-sized Chow Chow breed has a thick, weather-resistant coat, a strong, muscular body, and a friendly, independent temperament. They were originally bred for hunting, herding, and guarding in China and are known for their intelligence, loyalty, and distinctive blue-black tongue.",260,Chow Chow
"This medium-sized Keeshond breed has a thick, weather-resistant coat, a strong, muscular body, and a friendly, energetic temperament. They were originally bred for companionship and guarding duties in the Netherlands and are known for their intelligence, agility, and loyalty.",261,Keeshond
"This small brussels griffon breed has a distinctive, wiry coat, a compact, muscular body, and a friendly, affectionate temperament. They were originally bred for hunting small game and as companion animals in Belgium and are known for their intelligence, agility, and charm.",262,brussels griffon
"This small Pembroke Welsh Corgi breed has a short, weather-resistant coat, a long, low-set body, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in Wales and are known for their intelligence, agility, and loyalty.",263,Pembroke Welsh Corgi
"This small Cardigan Welsh Corgi breed has a medium-length, weather-resistant coat, a long, low-set body, and a friendly, intelligent temperament. They were originally bred for herding and guarding livestock in Wales and are known for their intelligence, agility, and loyalty.",264,Cardigan Welsh Corgi
"This small Toy Poodle breed has a curly, non-shedding coat, a compact, muscular body, and a friendly, intelligent temperament. They were originally bred for companionship in France and are known for their intelligence, agility, and charm.",265,Toy Poodle
"This medium-sized Miniature Poodle breed has a curly, non-shedding coat, a compact, muscular body, and a friendly, intelligent temperament. They were originally bred for hunting small game and as companion animals in France and are known for their intelligence, agility, and charm.",266,Miniature Poodle
"This large Standard Poodle breed has a curly, non-shedding coat, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for hunting waterfowl in France and are known for their intelligence, versatility, and charm.",267,Standard Poodle
"This small to large-sized Mexican hairless dog (xoloitzcuintli) breed has a hairless or coated variety, a strong, muscular body, and a friendly, intelligent temperament. They were originally bred for companionship and hunting small game in Mexico and are known for their intelligence, agility, and loyalty.",268,Mexican hairless dog (xoloitzcuintli)
"A large carnivorous grey wolf with a thick fur coat that ranges in color from white to black, grey wolves are known for their powerful jaws, strong limbs, and keen sense of smell. They are highly social animals, living in packs led by an alpha pair.",269,grey wolf
"A subspecies of the grey wolf, the Alaskan tundra wolf is found in the Arctic regions of Alaska and Canada. It has a thick, white or light grey coat, well-suited for the cold environment, and is known for its large size and adaptability.",270,Alaskan tundra wolf
"The red red wolf or maned wolf is a critically endangered species native to the southeastern United States, with a reddish-tawny coat and a lean body. The maned wolf, native to South America, has a reddish coat and long legs, resembling a large fox rather than a wolf.",271,red wolf or maned wolf
"A medium-sized canine native to North America, coyotes have a greyish-brown coat, large ears, and a bushy tail. They are highly adaptable and can be found in a variety of habitats.",272,coyote
"A wild dog native to Australia, dingoes have a sandy or reddish-brown coat, pointed ears, and a bushy tail. They are known for their intelligence and resourcefulness.",273,dingo
"A wild dog native to Asia, dholes have a reddish-brown coat and a lean body. They are social animals, living in packs, and are known for their hunting prowess.",274,dhole
"A highly social and endangered carnivore native to Africa, African wild dogs have a unique, patchy coat of black, white, and yellowish-brown fur. They are known for their incredible endurance and strong pack mentality.",275,African wild dog
"A carnivorous mammal native to Africa and Asia, hyenas have a stocky body, a sloping back, and a spotted or striped coat. They are known for their powerful jaws and bone-crushing ability.",276,hyena
"A small, carnivorous mammal with a distinctive reddish-brown coat, white underparts, and a bushy tail, red foxes are found throughout the Northern Hemisphere and are known for their cunning and adaptability.",277,red fox
"A small fox native to North America, kit foxes have a greyish coat, large ears, and a bushy tail. They are known for their agility and ability to thrive in arid environments.",278,kit fox
"A small fox native to the Arctic regions, Arctic foxes have a thick, white coat in the winter that changes to brown or grey in the summer. They are known for their ability to survive in extreme cold.",279,Arctic fox
"A small fox native to North and Central America, grey foxes have a grizzled grey coat, a black-tipped tail, and the ability to climb trees.",280,grey fox
"A domestic cat with a distinctive striped or marbled coat pattern, tabby cats come in various colors and are known for their playful and affectionate nature.",281,tabby cat
"A colloquial tiger cat for a domestic cat with a striped coat pattern resembling that of a tiger, often used to describe tabby cats.",282,tiger cat
"A domestic cat breed known for its long, silky coat, flat face, and large, round eyes, Persian cats are affectionate and gentle companions.",283,Persian cat
"A domestic cat breed with a sleek body, short coat, and striking blue almond-shaped eyes, Siamese cats are known for their outgoing and vocal nature.",284,Siamese cat
"A domestic cat breed with a short, spotted coat, the Egyptian Mau is known for its striking appearance, athletic build, and friendly nature. They have a unique, random spot pattern and are considered to be one of the oldest domesticated cat breeds.",285,Egyptian Mau
"Also known as a mountain lion or puma, the cougar is a large, powerful cat native to the Americas. It has a tawny coat, strong limbs, and a long tail, and is known for its stealth and agility.",286,cougar
"A medium-sized wild cat found in the forests of North America, Europe, and Asia, lynxes have a short, thick coat, tufted ears, and a short tail. They are known for their incredible camouflage skills and elusive nature.",287,lynx
"A large, powerful cat native to Africa and Asia, leopards are known for their distinctive golden-yellow coat with black spots and rosettes. They are skilled climbers and are known for their ability to adapt to a variety of habitats.",288,leopard
"A rare and elusive large cat native to the mountainous regions of Central and South Asia, snow leopards have a thick, smoky-grey coat with black spots and rosettes. They are known for their incredible agility in their mountainous habitat.",289,snow leopard
"A large, powerful cat native to the Americas, jaguars have a stocky build and a golden-yellow coat with black spots and rosettes. They are known for their powerful bite and ability to adapt to various habitats, including rainforests and grasslands.",290,jaguar
"Known as the ""king of the jungle,"" lions are large, powerful cats native to Africa and parts of Asia. They have a tawny coat, with males sporting a distinctive mane. Lions are social animals, living in groups called prides.",291,lion
"The largest of the big cats, tigers are native to Asia and are known for their striking orange coat with black stripes. They are solitary animals, known for their power and stealth.",292,tiger
"The fastest land animal, cheetahs are native to Africa and parts of the Middle East. They have a slender build, a golden-yellow coat with black spots, and distinctive black tear lines on their face. Cheetahs are known for their incredible speed and agility.",293,cheetah
"A large omnivorous mammal found in North America, Europe, and Asia, brown bears have a thick, shaggy brown coat and a humped shoulder. They are known for their strength and adaptability.",294,brown bear
"A medium-sized bear native to North America, the American black bear has a thick, black or brown coat and is known for its adaptability and opportunistic feeding habits.",295,American black bear
"A large bear native to the Arctic, polar bears have a thick, white coat that provides insulation and camouflage in their icy environment. They are known for their incredible swimming abilities and a diet primarily consisting of seals.",296,polar bear
"A medium-sized bear native to the Indian subcontinent, the sloth bear has a shaggy, black coat, a white snout, and long, curved claws. They are known for their diet of termites and ants, which they extract using their specialized mouthparts.",297,sloth bear
"A small, carnivorous mammal found in parts of Africa, Asia, and Europe, mongooses have a slender body, short legs, and a tapered snout. They are known for their agility and ability to kill venomous snakes.",298,mongoose
"A small, social mammal native to Africa, meerkats have a slender body, a sandy-colored coat, and dark eye markings. They live in large, cooperative groups called mobs or clans and are known for their distinctive upright posture when on the lookout for predators.",299,meerkat
"A tiger beetle of fast-running predatory beetles known for their striking color patterns and voracious appetite for other insects. They are found worldwide and are characterized by their large eyes and powerful, toothed mandibles.",300,tiger beetle
"Also known as ladybug or lady beetles, these small, brightly colored beetles are found worldwide and are known for their round, often red or orange, wing covers with black spots. They are beneficial to gardeners as they consume aphids and other plant-eating pests.",301,ladybug
"A large family of beetles, ground beetles are found worldwide and are known for their dark, shiny, and often metallic appearance. They are predatory insects, feeding on a variety of smaller insects and invertebrates.",302,ground beetle
"A family of beetles characterized by their elongated antennae, which are often longer than their body. They are found worldwide and exhibit a variety of colors and patterns. Many longhorn beetles are considered pests, as their larvae can damage wood.",303,longhorn beetle
"A large family of beetles that feed on leaves and plant material, leaf beetles are found worldwide and are known for their diverse colors and shapes. Some species are considered agricultural pests, as they can damage crops.",304,leaf beetle
"A dung beetle of beetles that feed primarily on dung, these insects are found worldwide and play an important role in recycling nutrients and reducing the spread of parasites. They are known for their behavior of rolling dung into balls for feeding or laying their eggs.",305,dung beetle
"A rhinoceros beetle of large, heavy-bodied beetles known for their impressive horns, which are used in battles with other males for territory and mates. They are found in tropical and subtropical regions around the world and are among the strongest animals relative to their size.",306,rhinoceros beetle
"A large and diverse group of beetles characterized by their elongated snouts, weevils are found worldwide and are often considered pests due to their ability to damage stored grains, seeds, and crops.",307,weevil
"A large fly of insects with two wings, flies are found worldwide and exhibit a wide range of behaviors and appearances. They are known for their compound eyes, which provide a wide field of vision, and their ability to transmit diseases.",308,fly
"A group of flying insects known for their fuzzy bodies, bees are important pollinators that feed on nectar and pollen. They are found worldwide and are known for their social structure in species like honeybees and bumblebees.",309,bee
"A highly social group of insects, ants are found worldwide and are known for their complex colonies and cooperative behavior. They are characterized by their elbowed antennae and a distinctive waist between their thorax and abdomen.",310,ant
"A group of insects known for their powerful hind legs, which allow them to jump long distances, grasshoppers are found worldwide and feed on plants. They are characterized by their large eyes and antennae, and are known for their distinctive chirping sounds.",311,grasshopper
"A cricket insect of insects related to grasshoppers, crickets are found worldwide and are known for their large hind legs and distinctive, often musical, chirping sounds. They are characterized by their long antennae and are commonly found in grassy or wooded areas.",312,cricket insect
"A group of insects known for their elongated, stick-like bodies, which provide camouflage among vegetation. Stick insects are found in tropical and subtropical regions around the world and are herbivorous, feeding primarily on leaves.",313,stick insect
"A large and diverse group of insects, cockroaches are found worldwide and are known for their flat, oval-shaped bodies and long antennae. Some species are considered pests due to their ability to infest human dwellings and spread diseases.",314,cockroach
"A group of insects characterized by their elongated bodies, triangular heads, and raptorial front legs used for capturing prey. Praying mantises are found worldwide and are known for their predatory behavior and ability to camouflage among vegetation.",315,praying mantis
"A group of insects known for their distinctive, often loud, calls produced by the males to attract mates. Cicadas are found worldwide and are characterized by their large, transparent wings and wide-set eyes.",316,cicada
"A group of small, sap-sucking insects known for their ability to jump great distances. Leafhoppers are found worldwide and are characterized by their slender, wedge-shaped bodies and colorful markings. They can be pests to various plants.",317,leafhopper
"A group of delicate, often green or brown insects known for their large, intricately veined wings. Lacewings are found worldwide and are beneficial to gardeners, as their larvae are voracious predators of aphids and other plant pests.",318,lacewing
"A dragonfly of predatory insects characterized by their large, multifaceted eyes, elongated bodies, and two pairs of transparent wings. Dragonflies are found worldwide and are known for their incredible agility and speed in flight.",319,dragonfly
"A damselfly of insects closely related to dragonflies, damselflies are characterized by their slender bodies, two pairs of transparent wings, and the ability to fold their wings over their abdomen when at rest. They are found worldwide and are also predatory.",320,damselfly
"A striking red admiral butterfly species characterized by its dark wings with red bands and white spots. Red admiral butterflies are found in temperate regions of North America, Europe, and Asia and are known for their distinctive, colorful appearance.",321,red admiral butterfly
"A ringlet butterfly of butterflies characterized by their brown wings with a pattern of rings or ""eyes"" on the undersides. Ringlet butterflies are found in various regions around the world and are known for their ability to blend in with their surroundings.",322,ringlet butterfly
"A large, monarch butterfly and black butterfly known for its incredible long-distance migration between North America and Mexico. Monarch butterflies are found throughout North America, Central America, and parts of South America, and are known for their striking appearance and unique life cycle.",323,monarch butterfly
"A common small white butterfly species characterized by its white wings with black tips and a small black spot on each forewing. Small white butterflies are found in Europe, Asia, and North Africa and are known for their ability to thrive in a variety of habitats.",324,small white butterfly
"A sulphur butterfly of medium-sized butterflies known for their bright yellow or orange wings. Sulphur butterflies are found primarily in the Americas and are known for their swift, erratic flight patterns.",325,sulphur butterfly
"A gossamer-winged butterfly of small butterflies characterized by their delicate, often brightly colored wings. Gossamer-winged butterflies are found worldwide and include species such as blues, coppers, and hairstreaks.",326,gossamer-winged butterfly
"Also known as sea stars, these marine invertebrates are characterized by their radial symmetry and typically have five or more arms. Starfish are found in oceans worldwide and are known for their ability to regenerate lost limbs.",327,starfish
"A group of marine invertebrates characterized by their round, spiny bodies. Sea urchins are found in oceans worldwide and are known for their unique mouthparts, called Aristotle's lantern, which they use to graze on algae and other organic material.",328,sea urchin
"A group of marine invertebrates characterized by their elongated, soft, and flexible bodies. Sea cucumbers are found in oceans worldwide and are known for their ability to expel their internal organs as a defense mechanism.",329,sea cucumber
"A group of small mammals characterized by their short, fluffy tails, which resemble a cotton ball. Cottontail rabbits are found throughout North and South America and are known for their ability to rapidly reproduce.",330,cottontail rabbit
"A group of medium-sized mammals closely related to rabbits, hares are characterized by their long ears and powerful hind legs. Hares are found in various regions around the world and are known for their incredible speed and agility.",331,hare
"A breed of domestic rabbit known for its long, silky fur, which is often used in the production of wool. Angora rabbits are originally from Ankara, Turkey, and are known for their gentle and docile temperament.",332,Angora rabbit
"A group of small, short-tailed rodents known for their burrowing habits and cheek pouches used for carrying food. Hamsters are found in various regions around the world and are popular pets due to their small size and low maintenance.",333,hamster
"A group of large rodents characterized by their sharp, needle-like quills, which they use as a defense mechanism. Porcupines are found in various regions around the world, including North and South America, Africa, and Asia.",334,porcupine
"A large tree squirrel species native to North America, characterized by its reddish-brown fur and bushy tail. Fox squirrels are known for their ability to adapt to a variety of habitats, including urban environments.",335,fox squirrel
"A group of large ground-dwelling squirrels characterized by their stocky bodies and short, bushy tails. Marmots are found in various regions around the world, including North America, Europe, and Asia, and are known for their extensive burrow systems and social behavior.",336,marmot
"A large, semi-aquatic rodent known for its flat, paddle-like tail and large, sharp front teeth. Beavers are native to North America and Eurasia and are known for their ability to construct dams and lodges using tree branches and mud.",337,beaver
"A small, domesticated rodent native to South America, known for its round body, short legs, and lack of a tail. Guinea pigs are popular pets due to their friendly nature and low maintenance requirements.",338,guinea pig
A common sorrel horse of horse breed characterized by their reddish-brown coat with a flaxen mane and tail. Sorrel horses are found in various horse breeds and are known for their striking appearance.,339,common sorrel horse
"A group of African mammals known for their distinctive black and white striped coats. There are three species of zebras: the plains zebra, the mountain zebra, and the Grevy's zebra. Zebras are social animals that live in herds.",340,zebra
"A domesticated mammal with a stout body, short legs, and a short, curly tail. Pigs are highly intelligent animals that have been bred for various purposes, including food, leather, and as pets.",341,pig
"A species of wild pig native to Eurasia and North Africa. Wild boars have longer legs, a more muscular body, and larger tusks than domestic pigs. They are omnivorous and are known for their aggressive behavior.",342,wild boar
"A wild pig species native to Africa, known for its large, curved tusks and distinctive facial features, including warts on their faces. Warthogs are primarily grazers and live in savannas and grasslands.",343,warthog
"A large, semi-aquatic mammal native to sub-Saharan Africa. The hippopotamus is the third-largest land mammal and is known for its barrel-shaped body, large mouth, and thick skin. Hippos spend most of their time in water and are herbivores.",344,hippopotamus
