prompt,label,classname
a photo of a ford model t and a,661,ford model t
a photo of a modem and a,662,modem
a photo of a monastery and a,663,monastery
a photo of a monitor and a,664,monitor
a photo of a moped and a,665,moped
a photo of a mortar and pestle and a,666,mortar and pestle
a photo of a graduation cap and a,667,graduation cap
a photo of a mosque and a,668,mosque
a photo of a mosquito net and a,669,mosquito net
a photo of a vespa and a,670,vespa
a photo of a mountain bike and a,671,mountain bike
a photo of a tent and a,672,tent
a photo of a computer mouse and a,673,computer mouse
a photo of a mousetrap and a,674,mousetrap
a photo of a moving van and a,675,moving van
a photo of a muzzle and a,676,muzzle
a photo of a metal nail and a,677,metal nail
a photo of a neck brace and a,678,neck brace
a photo of a necklace and a,679,necklace
a photo of a baby pacifier and a,680,baby pacifier
a photo of a notebook computer and a,681,notebook computer
a photo of a obelisk and a,682,obelisk
a photo of a oboe and a,683,oboe
a photo of a ocarina and a,684,ocarina
a photo of a odometer and a,685,odometer
a photo of a oil filter and a,686,oil filter
a photo of a pipe organ and a,687,pipe organ
a photo of a oscilloscope and a,688,oscilloscope
a photo of a overskirt and a,689,overskirt
a photo of a bullock cart and a,690,bullock cart
a photo of a oxygen mask and a,691,oxygen mask
a photo of a product packet / packaging and a,692,product packet / packaging
a photo of a paddle and a,693,paddle
a photo of a paddle wheel and a,694,paddle wheel
a photo of a padlock and a,695,padlock
a photo of a paintbrush and a,696,paintbrush
a photo of a pajamas and a,697,pajamas
a photo of a palace and a,698,palace
a photo of a pan flute and a,699,pan flute
a photo of a paper towel and a,700,paper towel
a photo of a parachute and a,701,parachute
a photo of a parallel bars and a,702,parallel bars
a photo of a park bench and a,703,park bench
a photo of a parking meter and a,704,parking meter
a photo of a railroad car and a,705,railroad car
a photo of a patio and a,706,patio
a photo of a payphone and a,707,payphone
a photo of a pedestal and a,708,pedestal
a photo of a pencil case and a,709,pencil case
a photo of a pencil sharpener and a,710,pencil sharpener
a photo of a perfume and a,711,perfume
a photo of a Petri dish and a,712,Petri dish
a photo of a photocopier and a,713,photocopier
a photo of a plectrum and a,714,plectrum
a photo of a Pickelhaube and a,715,Pickelhaube
a photo of a picket fence and a,716,picket fence
a photo of a pickup truck and a,717,pickup truck
a photo of a pier and a,718,pier
a photo of a piggy bank and a,719,piggy bank
a photo of a pill bottle and a,720,pill bottle
a photo of a pillow and a,721,pillow
a photo of a ping-pong ball and a,722,ping-pong ball
a photo of a pinwheel and a,723,pinwheel
a photo of a pirate ship and a,724,pirate ship
a photo of a drink pitcher and a,725,drink pitcher
a photo of a block plane and a,726,block plane
a photo of a planetarium and a,727,planetarium
a photo of a plastic bag and a,728,plastic bag
a photo of a plate rack and a,729,plate rack
a photo of a farm plow and a,730,farm plow
a photo of a plunger and a,731,plunger
a photo of a Polaroid camera and a,732,Polaroid camera
a photo of a pole and a,733,pole
a photo of a police van and a,734,police van
a photo of a poncho and a,735,poncho
a photo of a pool table and a,736,pool table
a photo of a soda bottle and a,737,soda bottle
a photo of a plant pot and a,738,plant pot
a photo of a potter's wheel and a,739,potter's wheel
a photo of a power drill and a,740,power drill
a photo of a prayer rug and a,741,prayer rug
a photo of a printer and a,742,printer
a photo of a prison and a,743,prison
a photo of a missile and a,744,missile
a photo of a projector and a,745,projector
a photo of a hockey puck and a,746,hockey puck
a photo of a punching bag and a,747,punching bag
a photo of a purse and a,748,purse
a photo of a quill and a,749,quill
a photo of a quilt and a,750,quilt
a photo of a race car and a,751,race car
a photo of a racket and a,752,racket
a photo of a radiator and a,753,radiator
a photo of a radio and a,754,radio
a photo of a radio telescope and a,755,radio telescope
a photo of a rain barrel and a,756,rain barrel
a photo of a recreational vehicle and a,757,recreational vehicle
a photo of a fishing casting reel and a,758,fishing casting reel
a photo of a reflex camera and a,759,reflex camera
a photo of a refrigerator and a,760,refrigerator
a photo of a remote control and a,761,remote control
a photo of a restaurant and a,762,restaurant
a photo of a revolver and a,763,revolver
a photo of a rifle and a,764,rifle
a photo of a rocking chair and a,765,rocking chair
a photo of a rotisserie and a,766,rotisserie
a photo of a eraser and a,767,eraser
a photo of a rugby ball and a,768,rugby ball
a photo of a ruler measuring stick and a,769,ruler measuring stick
a photo of a sneaker and a,770,sneaker
a photo of a safe and a,771,safe
a photo of a safety pin and a,772,safety pin
a photo of a salt shaker and a,773,salt shaker
a photo of a sandal and a,774,sandal
a photo of a sarong and a,775,sarong
a photo of a saxophone and a,776,saxophone
a photo of a scabbard and a,777,scabbard
a photo of a weighing scale and a,778,weighing scale
a photo of a school bus and a,779,school bus
a photo of a schooner and a,780,schooner
a photo of a scoreboard and a,781,scoreboard
a photo of a CRT monitor and a,782,CRT monitor
a photo of a screw and a,783,screw
a photo of a screwdriver and a,784,screwdriver
a photo of a seat belt and a,785,seat belt
a photo of a sewing machine and a,786,sewing machine
a photo of a shield and a,787,shield
a photo of a shoe store and a,788,shoe store
a photo of a shoji screen / room divider and a,789,shoji screen / room divider
a photo of a shopping basket and a,790,shopping basket
a photo of a shopping cart and a,791,shopping cart
a photo of a shovel and a,792,shovel
a photo of a shower cap and a,793,shower cap
a photo of a shower curtain and a,794,shower curtain
a photo of a ski and a,795,ski
a photo of a balaclava ski mask and a,796,balaclava ski mask
a photo of a sleeping bag and a,797,sleeping bag
a photo of a slide rule and a,798,slide rule
a photo of a sliding door and a,799,sliding door
a photo of a slot machine and a,800,slot machine
a photo of a snorkel and a,801,snorkel
a photo of a snowmobile and a,802,snowmobile
a photo of a snowplow and a,803,snowplow
a photo of a soap dispenser and a,804,soap dispenser
a photo of a soccer ball and a,805,soccer ball
a photo of a sock and a,806,sock
a photo of a solar thermal collector and a,807,solar thermal collector
a photo of a sombrero and a,808,sombrero
a photo of a soup bowl and a,809,soup bowl
a photo of a keyboard space bar and a,810,keyboard space bar
a photo of a space heater and a,811,space heater
a photo of a space shuttle and a,812,space shuttle
a photo of a spatula and a,813,spatula
a photo of a motorboat and a,814,motorboat
a photo of a spider web and a,815,spider web
a photo of a spindle and a,816,spindle
a photo of a sports car and a,817,sports car
a photo of a spotlight and a,818,spotlight
a photo of a stage and a,819,stage
a photo of a steam locomotive and a,820,steam locomotive
a photo of a through arch bridge and a,821,through arch bridge
a photo of a steel drum and a,822,steel drum
a photo of a stethoscope and a,823,stethoscope
a photo of a scarf and a,824,scarf
a photo of a stone wall and a,825,stone wall
a photo of a stopwatch and a,826,stopwatch
a photo of a stove and a,827,stove
a photo of a strainer and a,828,strainer
a photo of a tram and a,829,tram
a photo of a stretcher and a,830,stretcher
a photo of a couch and a,831,couch
a photo of a stupa and a,832,stupa
a photo of a submarine and a,833,submarine
a photo of a suit and a,834,suit
a photo of a sundial and a,835,sundial
a photo of a sunglasses and a,836,sunglasses
a photo of a sunglasses and a,837,sunglasses
a photo of a sunscreen and a,838,sunscreen
a photo of a suspension bridge and a,839,suspension bridge
a photo of a mop and a,840,mop
a photo of a sweatshirt and a,841,sweatshirt
a photo of a swim trunks / shorts and a,842,swim trunks / shorts
a photo of a swing and a,843,swing
a photo of a electrical switch and a,844,electrical switch
a photo of a syringe and a,845,syringe
a photo of a table lamp and a,846,table lamp
a photo of a tank and a,847,tank
a photo of a tape player and a,848,tape player
a photo of a teapot and a,849,teapot
a photo of a teddy bear and a,850,teddy bear
a photo of a television and a,851,television
a photo of a tennis ball and a,852,tennis ball
a photo of a thatched roof and a,853,thatched roof
a photo of a front curtain and a,854,front curtain
a photo of a thimble and a,855,thimble
a photo of a threshing machine and a,856,threshing machine
a photo of a throne and a,857,throne
a photo of a tile roof and a,858,tile roof
a photo of a toaster and a,859,toaster
a photo of a tobacco shop and a,860,tobacco shop
a photo of a toilet seat and a,861,toilet seat
a photo of a torch and a,862,torch
a photo of a totem pole and a,863,totem pole
a photo of a tow truck and a,864,tow truck
a photo of a toy store and a,865,toy store
a photo of a tractor and a,866,tractor
a photo of a semi-trailer truck and a,867,semi-trailer truck
a photo of a tray and a,868,tray
a photo of a trench coat and a,869,trench coat
a photo of a tricycle and a,870,tricycle
a photo of a trimaran and a,871,trimaran
a photo of a tripod and a,872,tripod
a photo of a triumphal arch and a,873,triumphal arch
a photo of a trolleybus and a,874,trolleybus
a photo of a trombone and a,875,trombone
a photo of a hot tub and a,876,hot tub
a photo of a turnstile and a,877,turnstile
a photo of a typewriter keyboard and a,878,typewriter keyboard
a photo of a umbrella and a,879,umbrella
a photo of a unicycle and a,880,unicycle
a photo of a upright piano and a,881,upright piano
a photo of a vacuum cleaner and a,882,vacuum cleaner
a photo of a vase and a,883,vase
a photo of a vaulted or arched ceiling and a,884,vaulted or arched ceiling
a photo of a velvet fabric and a,885,velvet fabric
a photo of a vending machine and a,886,vending machine
a photo of a vestment and a,887,vestment
a photo of a viaduct and a,888,viaduct
a photo of a violin and a,889,violin
a photo of a volleyball and a,890,volleyball
a photo of a waffle iron and a,891,waffle iron
a photo of a wall clock and a,892,wall clock
a photo of a wallet and a,893,wallet
a photo of a wardrobe and a,894,wardrobe
a photo of a military aircraft and a,895,military aircraft
a photo of a sink and a,896,sink
a photo of a washing machine and a,897,washing machine
a photo of a water bottle and a,898,water bottle
a photo of a water jug and a,899,water jug
a photo of a water tower and a,900,water tower
a photo of a whiskey jug and a,901,whiskey jug
a photo of a whistle and a,902,whistle
a photo of a hair wig and a,903,hair wig
a photo of a window screen and a,904,window screen
a photo of a window shade and a,905,window shade
a photo of a Windsor tie and a,906,Windsor tie
a photo of a wine bottle and a,907,wine bottle
a photo of a airplane wing and a,908,airplane wing
a photo of a wok and a,909,wok
a photo of a wooden spoon and a,910,wooden spoon
a photo of a wool and a,911,wool
a photo of a split-rail fence and a,912,split-rail fence
a photo of a shipwreck and a,913,shipwreck
a photo of a sailboat and a,914,sailboat
a photo of a yurt and a,915,yurt
a photo of a website and a,916,website
a photo of a comic book and a,917,comic book
a photo of a crossword and a,918,crossword
a photo of a traffic or street sign and a,919,traffic or street sign
a photo of a traffic light and a,920,traffic light
a photo of a dust jacket and a,921,dust jacket
a photo of a menu and a,922,menu
a photo of a plate and a,923,plate
a photo of a guacamole and a,924,guacamole
a photo of a consomme and a,925,consomme
a photo of a hot pot and a,926,hot pot
a photo of a trifle and a,927,trifle
a photo of a ice cream and a,928,ice cream
a photo of a popsicle and a,929,popsicle
a photo of a baguette and a,930,baguette
a photo of a bagel and a,931,bagel
a photo of a pretzel and a,932,pretzel
a photo of a cheeseburger and a,933,cheeseburger
a photo of a hot dog and a,934,hot dog
a photo of a mashed potatoes and a,935,mashed potatoes
a photo of a cabbage and a,936,cabbage
a photo of a broccoli and a,937,broccoli
a photo of a cauliflower and a,938,cauliflower
a photo of a zucchini and a,939,zucchini
a photo of a spaghetti squash and a,940,spaghetti squash
a photo of a acorn squash and a,941,acorn squash
a photo of a butternut squash and a,942,butternut squash
a photo of a cucumber and a,943,cucumber
a photo of a artichoke and a,944,artichoke
a photo of a bell pepper and a,945,bell pepper
a photo of a cardoon and a,946,cardoon
a photo of a mushroom and a,947,mushroom
a photo of a Granny Smith apple and a,948,Granny Smith apple
a photo of a strawberry and a,949,strawberry
a photo of a orange and a,950,orange
a photo of a lemon and a,951,lemon
a photo of a fig and a,952,fig
a photo of a pineapple and a,953,pineapple
a photo of a banana and a,954,banana
a photo of a jackfruit and a,955,jackfruit
a photo of a cherimoya (custard apple) and a,956,cherimoya (custard apple)
a photo of a pomegranate and a,957,pomegranate
a photo of a hay and a,958,hay
a photo of a carbonara and a,959,carbonara
a photo of a chocolate syrup and a,960,chocolate syrup
a photo of a dough and a,961,dough
a photo of a meatloaf and a,962,meatloaf
a photo of a pizza and a,963,pizza
a photo of a pot pie and a,964,pot pie
a photo of a burrito and a,965,burrito
a photo of a red wine and a,966,red wine
a photo of a espresso and a,967,espresso
a photo of a tea cup and a,968,tea cup
a photo of a eggnog and a,969,eggnog
a photo of a mountain and a,970,mountain
a photo of a bubble and a,971,bubble
a photo of a cliff and a,972,cliff
a photo of a coral reef and a,973,coral reef
a photo of a geyser and a,974,geyser
a photo of a lakeshore and a,975,lakeshore
a photo of a promontory and a,976,promontory
a photo of a sandbar and a,977,sandbar
a photo of a beach and a,978,beach
a photo of a valley and a,979,valley
a photo of a volcano and a,980,volcano
a photo of a baseball player and a,981,baseball player
a photo of a bridegroom and a,982,bridegroom
a photo of a scuba diver and a,983,scuba diver
a photo of a rapeseed and a,984,rapeseed
a photo of a daisy and a,985,daisy
a photo of a yellow lady's slipper and a,986,yellow lady's slipper
a photo of a corn and a,987,corn
a photo of a acorn and a,988,acorn
a photo of a rose hip and a,989,rose hip
a photo of a horse chestnut seed and a,990,horse chestnut seed
a photo of a coral fungus and a,991,coral fungus
a photo of a agaric and a,992,agaric
a photo of a gyromitra and a,993,gyromitra
a photo of a stinkhorn mushroom and a,994,stinkhorn mushroom
a photo of a earth star fungus and a,995,earth star fungus
a photo of a hen of the woods mushroom and a,996,hen of the woods mushroom
a photo of a bolete and a,997,bolete
a photo of a corn cob and a,998,corn cob
a photo of a toilet paper and a,999,toilet paper
